Entity,Code,Year,Population - Sex: all - Age: all - Variant: medium,Population - Sex: all - Age: all - Variant: medium
Anguilla,AIA,2046,15596,14862
Anguilla,AIA,2047,15533,14788
Anguilla,AIA,2048,15468,14710
Anguilla,AIA,2049,15389,14647
Anguilla,AIA,2050,15311,14572
Anguilla,AIA,2051,15232,14490
Anguilla,AIA,2052,15143,14410
Anguilla,AIA,2053,15050,14319
Anguilla,AIA,2054,14953,14235
Anguilla,AIA,2055,14849,14151
Anguilla,AIA,2056,14745,14055
Anguilla,AIA,2057,14642,13953
Anguilla,AIA,2058,14522,13860
Anguilla,AIA,2059,14410,13759
Anguilla,AIA,2060,14289,13659
Anguilla,AIA,2061,14170,13560
Anguilla,AIA,2062,14042,13456
Anguilla,AIA,2063,13912,13345
Anguilla,AIA,2064,13783,13226
Anguilla,AIA,2065,13650,13120
Anguilla,AIA,2066,13515,13005
Anguilla,AIA,2067,13379,12892
Anguilla,AIA,2068,13237,12792
Anguilla,AIA,2069,13095,12680
Anguilla,AIA,2070,12960,12570
Anguilla,AIA,2071,12821,12470
Anguilla,AIA,2072,12677,12367
Anguilla,AIA,2073,12535,12263
Anguilla,AIA,2074,12392,12159
Anguilla,AIA,2075,12252,12051
Anguilla,AIA,2076,12118,11948
Anguilla,AIA,2077,11977,11840
Anguilla,AIA,2078,11840,11733
Anguilla,AIA,2079,11709,11631
Anguilla,AIA,2080,11581,11518
Anguilla,AIA,2081,11459,11419
Anguilla,AIA,2082,11334,11310
Anguilla,AIA,2083,11213,11197
Anguilla,AIA,2084,11094,11091
Anguilla,AIA,2085,10984,10979
Anguilla,AIA,2086,10875,10871
Anguilla,AIA,2087,10764,10759
Anguilla,AIA,2088,10652,10650
Anguilla,AIA,2089,10553,10546
Anguilla,AIA,2090,10451,10435
Anguilla,AIA,2091,10362,10317
Anguilla,AIA,2092,10261,10209
Anguilla,AIA,2093,10167,10100
Anguilla,AIA,2094,10080,9988
Anguilla,AIA,2095,9989,9878
Anguilla,AIA,2096,9900,9770
Anguilla,AIA,2097,9815,9657
Anguilla,AIA,2098,9729,9547
Anguilla,AIA,2099,9639,9442
Anguilla,AIA,2100,9556,9329
Antigua and Barbuda,ATG,2022,93772,
Antigua and Barbuda,ATG,2023,94314,
Antigua and Barbuda,ATG,2024,94828,93784
Antigua and Barbuda,ATG,2025,95332,94224
Antigua and Barbuda,ATG,2026,95809,94634
Antigua and Barbuda,ATG,2027,96278,95020
